Category,Arizona
Total_doses_administered,7451351
Total_people_complete,3588303
Total_doses_ordered,5346480
total_pouluation,7189020
Total_people_one_dose,4069836
Male-65 years and older,526348
Male-55-64 years,304188
Male-45-54 years,267580
Male-20-44 years,639232
Male-Less than 20 years,170173
Female-65 years and older,648649
Female-55-64 years,349742
Female-45-54 years,292304
Female-20-44 years,673604
Female-Less than 20 years,178437
"Black or African American, non-Hispanic",112206
"American Indian or Alaska Native, non-Hispanic",121037
"Asian or Pacific Islander, non-Hispanic",151697
Unknown,437361
Other Race,684524
Hispanic or Latino,696365
"White, non-Hispanic",1866646
