Category,Yavapai
Total_doses_administered,195150
Total_people_one_dose,111598
Total_people_complete,93587
Total_doses_ordered,172400
total_pouluation,232386
Male-65 years and older,24293
Male-55-64 years,8699
Male-45-54 years,5106
Male-20-44 years,10035
Male-Less than 20 years,2166
Female-65 years and older,30301
Female-55-64 years,11123
Female-45-54 years,5955
Female-20-44 years,10184
Female-Less than 20 years,2423
"Black or African American, non-Hispanic",616
"American Indian or Alaska Native, non-Hispanic",1148
"Asian or Pacific Islander, non-Hispanic",1460
Hispanic or Latino,7140
Other Race,17154
Unknown,27621
"White, non-Hispanic",56459
