Category,Apache
Total_doses_administered,34118
Total_people_one_dose,19102
Total_people_complete,12671
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1985
Male-55-64 years,1330
Male-45-54 years,1053
Male-20-44 years,2574
Male-Less than 20 years,2551
Female-65 years and older,2093
Female-55-64 years,1454
Female-45-54 years,1058
Female-20-44 years,2358
Female-Less than 20 years,2636
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",292
Unknown,1042
Other Race,1305
Hispanic or Latino,1900
"White, non-Hispanic",3338
"American Indian or Alaska Native, non-Hispanic",11054
