Category,Cochise
Total_doses_administered,124223
Total_people_one_dose,69601
Total_people_complete,61262
Total_doses_ordered,90990
total_pouluation,130808
Male-65 years and older,10859
Male-55-64 years,5261
Male-45-54 years,3869
Male-20-44 years,10078
Male-Less than 20 years,2839
Female-65 years and older,12859
Female-55-64 years,6333
Female-45-54 years,4421
Female-20-44 years,10084
Female-Less than 20 years,2906
"American Indian or Alaska Native, non-Hispanic",333
"Black or African American, non-Hispanic",1323
"Asian or Pacific Islander, non-Hispanic",1326
Unknown,9360
Other Race,10570
Hispanic or Latino,16955
"White, non-Hispanic",29734
