Category,Gila
Total_doses_administered,54840
Total_people_one_dose,29946
Total_people_complete,26493
Total_doses_ordered,37560
total_pouluation,55159
Male-65 years and older,5961
Male-55-64 years,2673
Male-45-54 years,1666
Male-20-44 years,3326
Male-Less than 20 years,805
Female-65 years and older,6323
Female-55-64 years,2983
Female-45-54 years,1753
Female-20-44 years,3448
Female-Less than 20 years,946
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1377
Other Race,4972
Unknown,5501
"American Indian or Alaska Native, non-Hispanic",6109
"White, non-Hispanic",11626
