Category,Gila
Total_doses_administered,57562
Total_people_one_dose,26536
Total_people_complete,23162
total_pouluation,26536
Male-65 years and older,5893
Male-55-64 years,2240
Male-45-54 years,1279
Male-20-44 years,2468
Male-Less than 20 years,782
Female-65 years and older,6287
Female-55-64 years,2633
Female-45-54 years,1404
Female-20-44 years,2638
Female-Less than 20 years,854
"Black or African American, non-Hispanic",93
"Asian or Pacific Islander, non-Hispanic",209
Hispanic or Latino,1483
"American Indian or Alaska Native, non-Hispanic",2771
Other Race,4233
Unknown,4587
"White, non-Hispanic",13160
