Category,Santa Cruz
Total_doses_administered,114609
Total_people_one_dose,58208
Total_people_complete,44989
total_pouluation,58208
Male-65 years and older,4830
Male-55-64 years,3359
Male-45-54 years,3517
Male-20-44 years,9299
Male-Less than 20 years,6846
Female-65 years and older,5844
Female-55-64 years,3697
Female-45-54 years,3822
Female-20-44 years,9750
Female-Less than 20 years,7158
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3583
Unknown,4148
"White, non-Hispanic",7758
Hispanic or Latino,42412
