Category,Apache
Total_doses_administered,63373
Total_people_one_dose,30203
Total_people_complete,23017
total_pouluation,30203
Male-65 years and older,2836
Male-55-64 years,2070
Male-45-54 years,1664
Male-20-44 years,3991
Male-Less than 20 years,4200
Female-65 years and older,3408
Female-55-64 years,2220
Female-45-54 years,1635
Female-20-44 years,3890
Female-Less than 20 years,4280
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,589
Other Race,1169
Unknown,1175
"White, non-Hispanic",3680
"American Indian or Alaska Native, non-Hispanic",23395
