Category,Mohave
Total_doses_administered,190720
Total_people_one_dose,91899
Total_people_complete,77242
total_pouluation,91899
Male-65 years and older,21331
Male-55-64 years,8396
Male-45-54 years,4367
Male-20-44 years,7713
Male-Less than 20 years,1899
Female-65 years and older,23406
Female-55-64 years,9722
Female-45-54 years,4916
Female-20-44 years,7880
Female-Less than 20 years,2089
"Black or African American, non-Hispanic",633
"American Indian or Alaska Native, non-Hispanic",763
"Asian or Pacific Islander, non-Hispanic",1400
Hispanic or Latino,7425
Unknown,11647
Other Race,14587
"White, non-Hispanic",55444
