Category,Graham
Total_doses_administered,45665
Total_people_one_dose,21555
Total_people_complete,18806
total_pouluation,21555
Male-65 years and older,2425
Male-55-64 years,1596
Male-45-54 years,1457
Male-20-44 years,3633
Male-Less than 20 years,1269
Female-65 years and older,2934
Female-55-64 years,1739
Female-45-54 years,1429
Female-20-44 years,3680
Female-Less than 20 years,1381
"Asian or Pacific Islander, non-Hispanic",86
"Black or African American, non-Hispanic",94
Other Race,1306
Hispanic or Latino,3893
Unknown,4152
"American Indian or Alaska Native, non-Hispanic",5461
"White, non-Hispanic",6563
