Category,Coconino
Total_doses_administered,211013
Total_people_one_dose,96307
Total_people_complete,82451
total_pouluation,96307
Male-65 years and older,9535
Male-55-64 years,6423
Male-45-54 years,5891
Male-20-44 years,17455
Male-Less than 20 years,6410
Female-65 years and older,10711
Female-55-64 years,7209
Female-45-54 years,5929
Female-20-44 years,19842
Female-Less than 20 years,6631
"Black or African American, non-Hispanic",796
"Asian or Pacific Islander, non-Hispanic",1688
Hispanic or Latino,7406
Other Race,8792
Unknown,12526
"American Indian or Alaska Native, non-Hispanic",23082
"White, non-Hispanic",42017
