Category,Navajo
Total_doses_administered,102926
Total_people_one_dose,50185
Total_people_complete,41023
total_pouluation,50185
Male-65 years and older,7444
Male-55-64 years,3625
Male-45-54 years,2766
Male-20-44 years,5955
Male-Less than 20 years,4542
Female-65 years and older,8373
Female-55-64 years,4153
Female-45-54 years,2763
Female-20-44 years,5859
Female-Less than 20 years,4667
"Black or African American, non-Hispanic",207
"Asian or Pacific Islander, non-Hispanic",373
Unknown,2413
Hispanic or Latino,2571
Other Race,6384
"White, non-Hispanic",16251
"American Indian or Alaska Native, non-Hispanic",21986
