Category,La Paz
Total_doses_administered,18538
Total_people_one_dose,9130
Total_people_complete,7580
total_pouluation,9130
Male-65 years and older,2473
Male-55-64 years,633
Male-45-54 years,329
Male-20-44 years,690
Male-Less than 20 years,383
Female-65 years and older,2479
Female-55-64 years,752
Female-45-54 years,383
Female-20-44 years,609
Female-Less than 20 years,380
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",90
"American Indian or Alaska Native, non-Hispanic",546
Other Race,1198
Hispanic or Latino,1358
Unknown,1885
"White, non-Hispanic",4011
