Category,Cochise
Total_doses_administered,123475
Total_people_one_dose,69310
Total_people_complete,60915
Total_doses_ordered,90850
total_pouluation,130808
Male-65 years and older,10834
Male-55-64 years,5243
Male-45-54 years,3855
Male-20-44 years,10000
Male-Less than 20 years,2816
Female-65 years and older,12825
Female-55-64 years,6317
Female-45-54 years,4414
Female-20-44 years,10026
Female-Less than 20 years,2888
"American Indian or Alaska Native, non-Hispanic",331
"Black or African American, non-Hispanic",1313
"Asian or Pacific Islander, non-Hispanic",1322
Unknown,9313
Other Race,10533
Hispanic or Latino,16899
"White, non-Hispanic",29599
