Category,Gila
Total_doses_administered,54392
Total_people_one_dose,29761
Total_people_complete,26343
Total_doses_ordered,37770
total_pouluation,55159
Male-65 years and older,5947
Male-55-64 years,2668
Male-45-54 years,1651
Male-20-44 years,3293
Male-Less than 20 years,784
Female-65 years and older,6305
Female-55-64 years,2970
Female-45-54 years,1741
Female-20-44 years,3415
Female-Less than 20 years,925
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1369
Other Race,4947
Unknown,5478
"American Indian or Alaska Native, non-Hispanic",6042
"White, non-Hispanic",11565
