Category,Apache
Total_doses_administered,33804
Total_people_one_dose,18958
Total_people_complete,12553
Total_doses_ordered,16700
total_pouluation,71808
Male-65 years and older,1975
Male-55-64 years,1317
Male-45-54 years,1044
Male-20-44 years,2546
Male-Less than 20 years,2538
Female-65 years and older,2080
Female-55-64 years,1448
Female-45-54 years,1044
Female-20-44 years,2339
Female-Less than 20 years,2617
"Asian or Pacific Islander, non-Hispanic",170
"Black or African American, non-Hispanic",290
Unknown,1024
Other Race,1289
Hispanic or Latino,1884
"White, non-Hispanic",3321
"American Indian or Alaska Native, non-Hispanic",10980
