Category,Coconino
Total_doses_administered,153472
Total_people_one_dose,84252
Total_people_complete,75733
Total_doses_ordered,97448
total_pouluation,147275
Male-65 years and older,7877
Male-55-64 years,6117
Male-45-54 years,5523
Male-20-44 years,16746
Male-Less than 20 years,3272
Female-65 years and older,8951
Female-55-64 years,6846
Female-45-54 years,5644
Female-20-44 years,19209
Female-Less than 20 years,3982
"Black or African American, non-Hispanic",626
"Asian or Pacific Islander, non-Hispanic",1276
Hispanic or Latino,6034
Other Race,9772
Unknown,17005
"American Indian or Alaska Native, non-Hispanic",17611
"White, non-Hispanic",31928
