Category,Navajo
Total_doses_administered,78388
Total_people_one_dose,44162
Total_people_complete,37431
Total_doses_ordered,41810
total_pouluation,112825
Male-65 years and older,7015
Male-55-64 years,3658
Male-45-54 years,2595
Male-20-44 years,5446
Male-Less than 20 years,3117
Female-65 years and older,7704
Female-55-64 years,3920
Female-45-54 years,2611
Female-20-44 years,4824
Female-Less than 20 years,3238
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",422
Unknown,2244
Hispanic or Latino,2298
Other Race,8442
"White, non-Hispanic",14895
"American Indian or Alaska Native, non-Hispanic",15633
