,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3251668,882927,12840,54651,90625,32611,10991,6844,10618,1202962,64568,32441,450066,138295,25866,111210,87365
Total_people_one_dose,2058676,580009,7629,36224,54313,20058,6839,3882,6704,755189,44014,20844,290203,89277,17010,67216,59265
Total_people_complete,1275415,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,515333,,,,,,,,,,,,,,,,
55-64 years,229510,,,,,,,,,,,,,,,,
45-54 years,129047,,,,,,,,,,,,,,,,
20-44 years,264528,,,,,,,,,,,,,,,,
Less than 20 years,15940,,,,,,,,,,,,,,,,
65 years and older,3882,,,,,,,,,,,,,,,,
55-64 years,182829,,,,,,,,,,,,,,,,
45-54 years,97071,,,,,,,,,,,,,,,,
20-44 years,193370,,,,,,,,,,,,,,,,
Less than 20 years,11905,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",38954,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",55073,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",62459,,,,,,,,,,,,,,,,
Hispanic or Latino,205329,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",298383,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",377636,,,,,,,,,,,,,,,,
"White, non-Hispanic",1020865,,,,,,,,,,,,,,,,
