Category,Apache
Total_doses_administered,77582
Total_people_one_dose,34685
Total_people_complete,29696
total_pouluation,34685
Male-65 years and older,3116
Male-55-64 years,2326
Male-45-54 years,1897
Male-20-44 years,4771
Male-Less than 20 years,4757
Female-65 years and older,3777
Female-55-64 years,2534
Female-45-54 years,1946
Female-20-44 years,4681
Female-Less than 20 years,4869
"Black or African American, non-Hispanic",67
"Asian or Pacific Islander, non-Hispanic",159
Hispanic or Latino,654
Other Race,1241
Unknown,1487
"White, non-Hispanic",3910
"American Indian or Alaska Native, non-Hispanic",27167
