Category,Cochise
Total_doses_administered,191130
Total_people_one_dose,91169
Total_people_complete,75380
total_pouluation,91169
Male-65 years and older,12040
Male-55-64 years,6028
Male-45-54 years,4824
Male-20-44 years,13008
Male-Less than 20 years,7247
Female-65 years and older,14067
Female-55-64 years,7113
Female-45-54 years,5418
Female-20-44 years,13784
Female-Less than 20 years,7536
"American Indian or Alaska Native, non-Hispanic",389
"Asian or Pacific Islander, non-Hispanic",1596
"Black or African American, non-Hispanic",1707
Unknown,11048
Other Race,12726
Hispanic or Latino,28466
"White, non-Hispanic",35237
