Category,Yavapai
Total_doses_administered,282890
Total_people_one_dose,128880
Total_people_complete,109423
total_pouluation,128880
Male-65 years and older,28530
Male-55-64 years,10074
Male-45-54 years,5514
Male-20-44 years,11328
Male-Less than 20 years,3333
Female-65 years and older,34429
Female-55-64 years,12688
Female-45-54 years,6567
Female-20-44 years,11496
Female-Less than 20 years,3690
"Black or African American, non-Hispanic",648
"American Indian or Alaska Native, non-Hispanic",1552
"Asian or Pacific Islander, non-Hispanic",1663
Hispanic or Latino,9271
Other Race,19039
Unknown,19060
"White, non-Hispanic",77647
