Category,Santa Cruz
Total_doses_administered,130297
Total_people_one_dose,66156
Total_people_complete,50197
total_pouluation,66156
Male-65 years and older,4817
Male-55-64 years,3548
Male-45-54 years,3809
Male-20-44 years,10054
Male-Less than 20 years,9503
Female-65 years and older,5878
Female-55-64 years,3996
Female-45-54 years,4221
Female-20-44 years,10798
Female-Less than 20 years,9416
"American Indian or Alaska Native, non-Hispanic",56
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",189
Other Race,3679
Unknown,6590
"White, non-Hispanic",7662
Hispanic or Latino,47921
