Category,Graham
Total_doses_administered,42415
Total_people_one_dose,19208
Total_people_complete,17066
total_pouluation,19208
Male-65 years and older,1995
Male-55-64 years,1366
Male-45-54 years,1317
Male-20-44 years,3263
Male-Less than 20 years,1304
Female-65 years and older,2475
Female-55-64 years,1511
Female-45-54 years,1245
Female-20-44 years,3301
Female-Less than 20 years,1420
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,863
Hispanic or Latino,2852
Unknown,3832
"White, non-Hispanic",5668
"American Indian or Alaska Native, non-Hispanic",5844
