Category,Coconino
Total_doses_administered,213585
Total_people_one_dose,94121
Total_people_complete,83178
total_pouluation,94121
Male-65 years and older,8464
Male-55-64 years,6059
Male-45-54 years,5791
Male-20-44 years,17600
Male-Less than 20 years,6902
Female-65 years and older,9467
Female-55-64 years,6740
Female-45-54 years,5765
Female-20-44 years,20073
Female-Less than 20 years,7082
"Black or African American, non-Hispanic",828
"Asian or Pacific Islander, non-Hispanic",1727
Hispanic or Latino,7655
Other Race,8067
Unknown,11366
"American Indian or Alaska Native, non-Hispanic",24105
"White, non-Hispanic",40373
