Category,Yuma
Total_doses_administered,354348
Total_people_one_dose,173261
Total_people_complete,139574
total_pouluation,173261
Male-65 years and older,18099
Male-55-64 years,11280
Male-45-54 years,9829
Male-20-44 years,30694
Male-Less than 20 years,15059
Female-65 years and older,20663
Female-55-64 years,12095
Female-45-54 years,10747
Female-20-44 years,28606
Female-Less than 20 years,15490
"Black or African American, non-Hispanic",905
"American Indian or Alaska Native, non-Hispanic",1262
"Asian or Pacific Islander, non-Hispanic",1278
Other Race,21019
Unknown,30990
"White, non-Hispanic",37742
Hispanic or Latino,80065
