Category,Arizona
Total_doses_administered,10782219
Total_people_complete,4221977
total_pouluation,7189020
Total_people_one_dose,4960079
Male-65 years and older,592572
Male-55-64 years,343973
Male-45-54 years,312171
Male-20-44 years,787487
Male-Less than 20 years,315759
Female-65 years and older,718815
Female-55-64 years,390628
Female-45-54 years,335912
Female-20-44 years,822605
Female-Less than 20 years,320258
"Black or African American, non-Hispanic",152633
"Asian or Pacific Islander, non-Hispanic",190537
"American Indian or Alaska Native, non-Hispanic",222535
Unknown,448372
Other Race,692263
Hispanic or Latino,968756
"White, non-Hispanic",2284983
