Category,Mohave
Total_doses_administered,202556
Total_people_one_dose,94908
Total_people_complete,80124
total_pouluation,94908
Male-65 years and older,21923
Male-55-64 years,8579
Male-45-54 years,4508
Male-20-44 years,8066
Male-Less than 20 years,2088
Female-65 years and older,23938
Female-55-64 years,9941
Female-45-54 years,5046
Female-20-44 years,8331
Female-Less than 20 years,2307
"Black or African American, non-Hispanic",674
"American Indian or Alaska Native, non-Hispanic",791
"Asian or Pacific Islander, non-Hispanic",1468
Hispanic or Latino,7909
Unknown,11755
Other Race,14860
"White, non-Hispanic",57451
