Category,Maricopa
Total_doses_administered,6281839
Total_people_one_dose,2831111
Total_people_complete,2486745
total_pouluation,2831111
Male-65 years and older,299068
Male-55-64 years,197602
Male-45-54 years,193317
Male-20-44 years,467416
Male-Less than 20 years,177745
Female-65 years and older,373143
Female-55-64 years,221399
Female-45-54 years,208841
Female-20-44 years,499235
Female-Less than 20 years,179040
"American Indian or Alaska Native, non-Hispanic",55610
"Black or African American, non-Hispanic",112037
"Asian or Pacific Islander, non-Hispanic",144400
Unknown,192498
Other Race,444922
Hispanic or Latino,497280
"White, non-Hispanic",1384364
