Category,La Paz
Total_doses_administered,19129
Total_people_one_dose,9334
Total_people_complete,7760
total_pouluation,9334
Male-65 years and older,2527
Male-55-64 years,654
Male-45-54 years,333
Male-20-44 years,719
Male-Less than 20 years,417
Female-65 years and older,2499
Female-55-64 years,764
Female-45-54 years,389
Female-20-44 years,627
Female-Less than 20 years,387
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",567
Other Race,1213
Hispanic or Latino,1408
Unknown,1947
"White, non-Hispanic",4065
