Category,Greenlee
Total_doses_administered,10247
Total_people_one_dose,4508
Total_people_complete,4059
total_pouluation,4508
Male-65 years and older,517
Male-55-64 years,389
Male-45-54 years,336
Male-20-44 years,812
Male-Less than 20 years,247
Female-65 years and older,524
Female-55-64 years,318
Female-45-54 years,337
Female-20-44 years,773
Female-Less than 20 years,253
"Asian or Pacific Islander, non-Hispanic",51
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",127
Unknown,303
"White, non-Hispanic",1835
Hispanic or Latino,2039
