Category,Apache
Total_doses_administered,68162
Total_people_one_dose,31771
Total_people_complete,23625
total_pouluation,31771
Male-65 years and older,2958
Male-55-64 years,2128
Male-45-54 years,1722
Male-20-44 years,4184
Male-Less than 20 years,4511
Female-65 years and older,3547
Female-55-64 years,2318
Female-45-54 years,1723
Female-20-44 years,4057
Female-Less than 20 years,4612
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",143
Hispanic or Latino,626
Unknown,1197
Other Race,1216
"White, non-Hispanic",3843
"American Indian or Alaska Native, non-Hispanic",24685
