Category,Mohave
Total_doses_administered,200980
Total_people_one_dose,94727
Total_people_complete,79130
total_pouluation,94727
Male-65 years and older,21922
Male-55-64 years,8591
Male-45-54 years,4496
Male-20-44 years,8015
Male-Less than 20 years,2048
Female-65 years and older,23971
Female-55-64 years,9921
Female-45-54 years,5044
Female-20-44 years,8256
Female-Less than 20 years,2280
"Black or African American, non-Hispanic",661
"American Indian or Alaska Native, non-Hispanic",794
"Asian or Pacific Islander, non-Hispanic",1461
Hispanic or Latino,7849
Unknown,11822
Other Race,14877
"White, non-Hispanic",57263
