Category,Cochise
Total_doses_administered,188033
Total_people_one_dose,90098
Total_people_complete,72258
total_pouluation,90098
Male-65 years and older,12106
Male-55-64 years,6032
Male-45-54 years,4798
Male-20-44 years,12916
Male-Less than 20 years,6764
Female-65 years and older,14135
Female-55-64 years,7112
Female-45-54 years,5381
Female-20-44 years,13667
Female-Less than 20 years,7085
"American Indian or Alaska Native, non-Hispanic",388
"Asian or Pacific Islander, non-Hispanic",1589
"Black or African American, non-Hispanic",1699
Unknown,10904
Other Race,12807
Hispanic or Latino,27367
"White, non-Hispanic",35344
