Category,Graham
Total_doses_administered,41863
Total_people_one_dose,19081
Total_people_complete,16401
total_pouluation,19081
Male-65 years and older,1995
Male-55-64 years,1359
Male-45-54 years,1310
Male-20-44 years,3246
Male-Less than 20 years,1278
Female-65 years and older,2468
Female-55-64 years,1505
Female-45-54 years,1238
Female-20-44 years,3283
Female-Less than 20 years,1388
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,866
Hispanic or Latino,2827
Unknown,3816
"White, non-Hispanic",5626
"American Indian or Alaska Native, non-Hispanic",5797
