Category,Yuma
Total_doses_administered,346718
Total_people_one_dose,170593
Total_people_complete,131872
total_pouluation,170593
Male-65 years and older,18023
Male-55-64 years,11188
Male-45-54 years,9712
Male-20-44 years,30181
Male-Less than 20 years,14453
Female-65 years and older,20626
Female-55-64 years,12020
Female-45-54 years,10641
Female-20-44 years,28237
Female-Less than 20 years,14842
"Black or African American, non-Hispanic",887
"American Indian or Alaska Native, non-Hispanic",1241
"Asian or Pacific Islander, non-Hispanic",1281
Other Race,20430
Unknown,30909
"White, non-Hispanic",37458
Hispanic or Latino,78387
