Category,Yavapai
Total_doses_administered,281062
Total_people_one_dose,129250
Total_people_complete,107959
total_pouluation,129250
Male-65 years and older,28684
Male-55-64 years,10118
Male-45-54 years,5526
Male-20-44 years,11286
Male-Less than 20 years,3313
Female-65 years and older,34599
Female-55-64 years,12762
Female-45-54 years,6576
Female-20-44 years,11488
Female-Less than 20 years,3646
"Black or African American, non-Hispanic",644
"American Indian or Alaska Native, non-Hispanic",1540
"Asian or Pacific Islander, non-Hispanic",1657
Hispanic or Latino,9203
Other Race,19132
Unknown,19394
"White, non-Hispanic",77680
