Category,Maricopa
Total_doses_administered,6199320
Total_people_one_dose,2823336
Total_people_complete,2401695
total_pouluation,2823336
Male-65 years and older,299848
Male-55-64 years,197896
Male-45-54 years,193116
Male-20-44 years,465478
Male-Less than 20 years,173791
Female-65 years and older,374630
Female-55-64 years,221874
Female-45-54 years,208729
Female-20-44 years,497865
Female-Less than 20 years,175647
"American Indian or Alaska Native, non-Hispanic",55224
"Black or African American, non-Hispanic",111315
"Asian or Pacific Islander, non-Hispanic",143906
Unknown,191181
Other Race,446710
Hispanic or Latino,490684
"White, non-Hispanic",1384316
