Category,Apache
Total_doses_administered,62373
Total_people_one_dose,29842
Total_people_complete,22845
total_pouluation,29842
Male-65 years and older,2815
Male-55-64 years,2058
Male-45-54 years,1647
Male-20-44 years,3944
Male-Less than 20 years,4130
Female-65 years and older,3386
Female-55-64 years,2202
Female-45-54 years,1614
Female-20-44 years,3839
Female-Less than 20 years,4199
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",136
Hispanic or Latino,579
Unknown,1142
Other Race,1157
"White, non-Hispanic",3672
"American Indian or Alaska Native, non-Hispanic",23097
