Category,Greenlee
Total_doses_administered,9600
Total_people_one_dose,4420
Total_people_complete,3813
total_pouluation,4420
Male-65 years and older,516
Male-55-64 years,375
Male-45-54 years,330
Male-20-44 years,795
Male-Less than 20 years,231
Female-65 years and older,519
Female-55-64 years,318
Female-45-54 years,328
Female-20-44 years,766
Female-Less than 20 years,240
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",53
Other Race,92
"American Indian or Alaska Native, non-Hispanic",124
Unknown,316
"White, non-Hispanic",1796
Hispanic or Latino,1996
