Category,Graham
Total_doses_administered,45010
Total_people_one_dose,21440
Total_people_complete,18694
total_pouluation,21440
Male-65 years and older,2415
Male-55-64 years,1592
Male-45-54 years,1453
Male-20-44 years,3620
Male-Less than 20 years,1237
Female-65 years and older,2928
Female-55-64 years,1736
Female-45-54 years,1425
Female-20-44 years,3660
Female-Less than 20 years,1362
"Asian or Pacific Islander, non-Hispanic",86
"Black or African American, non-Hispanic",93
Other Race,1303
Hispanic or Latino,3866
Unknown,4130
"American Indian or Alaska Native, non-Hispanic",5421
"White, non-Hispanic",6541
