Category,Arizona
Total_doses_administered,9856442
Total_people_complete,3958966
total_pouluation,7189020
Total_people_one_dose,4707460
Male-65 years and older,573139
Male-55-64 years,333253
Male-45-54 years,300697
Male-20-44 years,748314
Male-Less than 20 years,272223
Female-65 years and older,696556
Female-55-64 years,378665
Female-45-54 years,323639
Female-20-44 years,782172
Female-Less than 20 years,278883
"Black or African American, non-Hispanic",142639
"Asian or Pacific Islander, non-Hispanic",180078
"American Indian or Alaska Native, non-Hispanic",202966
Unknown,428996
Other Race,672308
Hispanic or Latino,880131
"White, non-Hispanic",2200342
