Category,Yuma
Total_doses_administered,318835
Total_people_one_dose,159912
Total_people_complete,127877
total_pouluation,159912
Male-65 years and older,17088
Male-55-64 years,10673
Male-45-54 years,9307
Male-20-44 years,28405
Male-Less than 20 years,12644
Female-65 years and older,19653
Female-55-64 years,11402
Female-45-54 years,10235
Female-20-44 years,26773
Female-Less than 20 years,13119
"Black or African American, non-Hispanic",840
"American Indian or Alaska Native, non-Hispanic",1187
"Asian or Pacific Islander, non-Hispanic",1230
Other Race,19341
Unknown,29672
"White, non-Hispanic",35388
Hispanic or Latino,72254
