Category,Navajo
Total_doses_administered,101548
Total_people_one_dose,49713
Total_people_complete,40773
total_pouluation,49713
Male-65 years and older,7397
Male-55-64 years,3601
Male-45-54 years,2739
Male-20-44 years,5881
Male-Less than 20 years,4475
Female-65 years and older,8321
Female-55-64 years,4129
Female-45-54 years,2741
Female-20-44 years,5783
Female-Less than 20 years,4609
"Black or African American, non-Hispanic",204
"Asian or Pacific Islander, non-Hispanic",368
Unknown,2375
Hispanic or Latino,2532
Other Race,6348
"White, non-Hispanic",16153
"American Indian or Alaska Native, non-Hispanic",21733
