Category,Maricopa
Total_doses_administered,5700204
Total_people_one_dose,2676609
Total_people_complete,2315651
total_pouluation,2676609
Male-65 years and older,288067
Male-55-64 years,190273
Male-45-54 years,184664
Male-20-44 years,442902
Male-Less than 20 years,152803
Female-65 years and older,359794
Female-55-64 years,213802
Female-45-54 years,200017
Female-20-44 years,474031
Female-Less than 20 years,155823
"American Indian or Alaska Native, non-Hispanic",52461
"Black or African American, non-Hispanic",104051
"Asian or Pacific Islander, non-Hispanic",135911
Unknown,180297
Other Race,430757
Hispanic or Latino,452803
"White, non-Hispanic",1320329
