Category,Cochise
Total_doses_administered,167485
Total_people_one_dose,82507
Total_people_complete,67460
total_pouluation,82507
Male-65 years and older,11382
Male-55-64 years,5623
Male-45-54 years,4397
Male-20-44 years,11778
Male-Less than 20 years,5691
Female-65 years and older,13334
Female-55-64 years,6658
Female-45-54 years,4943
Female-20-44 years,12515
Female-Less than 20 years,6084
"American Indian or Alaska Native, non-Hispanic",365
"Asian or Pacific Islander, non-Hispanic",1502
"Black or African American, non-Hispanic",1600
Unknown,9856
Other Race,12036
Hispanic or Latino,23683
"White, non-Hispanic",33465
