Category,Coconino
Total_doses_administered,208393
Total_people_one_dose,95685
Total_people_complete,82160
total_pouluation,95685
Male-65 years and older,9495
Male-55-64 years,6400
Male-45-54 years,5863
Male-20-44 years,17351
Male-Less than 20 years,6300
Female-65 years and older,10683
Female-55-64 years,7183
Female-45-54 years,5907
Female-20-44 years,19723
Female-Less than 20 years,6509
"Black or African American, non-Hispanic",794
"Asian or Pacific Islander, non-Hispanic",1670
Hispanic or Latino,7301
Other Race,8739
Unknown,12544
"American Indian or Alaska Native, non-Hispanic",22899
"White, non-Hispanic",41738
