Category,Mohave
Total_doses_administered,188520
Total_people_one_dose,91255
Total_people_complete,76846
total_pouluation,91255
Male-65 years and older,21207
Male-55-64 years,8325
Male-45-54 years,4338
Male-20-44 years,7629
Male-Less than 20 years,1870
Female-65 years and older,23282
Female-55-64 years,9671
Female-45-54 years,4883
Female-20-44 years,7808
Female-Less than 20 years,2062
"Black or African American, non-Hispanic",626
"American Indian or Alaska Native, non-Hispanic",750
"Asian or Pacific Islander, non-Hispanic",1394
Hispanic or Latino,7333
Unknown,11614
Other Race,14509
"White, non-Hispanic",55029
