Category,Maricopa
Total_doses_administered,4941167
Total_people_one_dose,2485196
Total_people_complete,2239776
total_pouluation,2485196
Male-65 years and older,276233
Male-55-64 years,182247
Male-45-54 years,176109
Male-20-44 years,417510
Male-Less than 20 years,112076
Female-65 years and older,345909
Female-55-64 years,205572
Female-45-54 years,191596
Female-20-44 years,447396
Female-Less than 20 years,116135
"American Indian or Alaska Native, non-Hispanic",45768
"Black or African American, non-Hispanic",90157
"Asian or Pacific Islander, non-Hispanic",118222
Unknown,195689
Hispanic or Latino,402510
Other Race,446824
"White, non-Hispanic",1186026
