Category,Navajo
Total_doses_administered,85116
Total_people_one_dose,44344
Total_people_complete,38440
total_pouluation,44344
Male-65 years and older,6974
Male-55-64 years,3407
Male-45-54 years,2496
Male-20-44 years,5363
Male-Less than 20 years,3225
Female-65 years and older,7871
Female-55-64 years,3892
Female-45-54 years,2507
Female-20-44 years,5191
Female-Less than 20 years,3383
"Black or African American, non-Hispanic",186
"Asian or Pacific Islander, non-Hispanic",358
Hispanic or Latino,2272
Unknown,2687
Other Race,7713
"White, non-Hispanic",13923
"American Indian or Alaska Native, non-Hispanic",17205
