Category,Graham
Total_doses_administered,38715
Total_people_one_dose,19801
Total_people_complete,17929
total_pouluation,19801
Male-65 years and older,2337
Male-55-64 years,1542
Male-45-54 years,1395
Male-20-44 years,3419
Male-Less than 20 years,851
Female-65 years and older,2820
Female-55-64 years,1683
Female-45-54 years,1360
Female-20-44 years,3431
Female-Less than 20 years,951
"Black or African American, non-Hispanic",81
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1521
Hispanic or Latino,3474
Unknown,4206
"American Indian or Alaska Native, non-Hispanic",4751
"White, non-Hispanic",5679
