Category,La Paz
Total_doses_administered,15558
Total_people_one_dose,8212
Total_people_complete,7249
total_pouluation,8212
Male-65 years and older,2264
Male-55-64 years,586
Male-45-54 years,304
Male-20-44 years,620
Male-Less than 20 years,253
Female-65 years and older,2313
Female-55-64 years,688
Female-45-54 years,357
Female-20-44 years,549
Female-Less than 20 years,261
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",381
Other Race,1173
Hispanic or Latino,1188
Unknown,1887
"White, non-Hispanic",3466
