Category,Yuma
Total_doses_administered,264161
Total_people_one_dose,138931
Total_people_complete,122005
total_pouluation,138931
Male-65 years and older,14987
Male-55-64 years,9787
Male-45-54 years,8740
Male-20-44 years,26147
Male-Less than 20 years,8103
Female-65 years and older,17461
Female-55-64 years,10420
Female-45-54 years,9573
Female-20-44 years,24568
Female-Less than 20 years,8632
"Black or African American, non-Hispanic",699
"Asian or Pacific Islander, non-Hispanic",1055
"American Indian or Alaska Native, non-Hispanic",1058
Other Race,15566
"White, non-Hispanic",28618
Unknown,30320
Hispanic or Latino,61615
