Category,Santa Cruz
Total_doses_administered,90506
Total_people_one_dose,47563
Total_people_complete,42709
total_pouluation,47563
Male-65 years and older,4421
Male-55-64 years,3053
Male-45-54 years,3191
Male-20-44 years,8527
Male-Less than 20 years,3728
Female-65 years and older,5308
Female-55-64 years,3300
Female-45-54 years,3375
Female-20-44 years,8504
Female-Less than 20 years,4091
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",50
"Asian or Pacific Islander, non-Hispanic",170
Unknown,2905
Other Race,3154
"White, non-Hispanic",6782
Hispanic or Latino,34454
