Category,value
Hospitalizations,80860
Day,
Day_pct,
Apache,1108
Cochise,912
Coconino,1677
Gila,860
Graham,414
Greenlee,59
La Paz,312
Maricopa,50948
Mohave,2700
Navajo,2088
Pima,8794
Pinal,5366
Santa Cruz,621
Yavapai,2468
Yuma,2533
0_5,
Less than 20 years,3026
20-44 years,17240
45-54 years,11464
55-64 years,14833
65 years and older,34255
Male,42438
Female,38380
Missing,
"White, non-Hispanic",38820
Hispanic or Latino,25361
"American Indian or Alaska Native, non-Hispanic",5770
"Black or African American, non-Hispanic",3997
"Asian or Pacific Islander, non-Hispanic",1348
Other Race,3496
