Category,Cochise
Total_doses_administered,135866
Total_people_one_dose,72031
Total_people_complete,64147
total_pouluation,72031
Male-65 years and older,10588
Male-55-64 years,5126
Male-45-54 years,3976
Male-20-44 years,10784
Male-Less than 20 years,3390
Female-65 years and older,12578
Female-55-64 years,6201
Female-45-54 years,4482
Female-20-44 years,11269
Female-Less than 20 years,3543
"American Indian or Alaska Native, non-Hispanic",310
"Asian or Pacific Islander, non-Hispanic",1342
"Black or African American, non-Hispanic",1385
Unknown,9640
Other Race,11486
Hispanic or Latino,17977
"White, non-Hispanic",29891
