Category,Mohave
Total_doses_administered,160612
Total_people_one_dose,84696
Total_people_complete,73216
total_pouluation,84696
Male-65 years and older,19609
Male-55-64 years,7832
Male-45-54 years,4048
Male-20-44 years,7006
Male-Less than 20 years,1459
Female-65 years and older,22052
Female-55-64 years,9197
Female-45-54 years,4591
Female-20-44 years,7075
Female-Less than 20 years,1654
"Black or African American, non-Hispanic",530
"American Indian or Alaska Native, non-Hispanic",640
"Asian or Pacific Islander, non-Hispanic",1202
Hispanic or Latino,6522
Unknown,13270
Other Race,14999
"White, non-Hispanic",47533
