Category,Yavapai
Total_doses_administered,210968
Total_people_one_dose,110563
Total_people_complete,94945
total_pouluation,110563
Male-65 years and older,24477
Male-55-64 years,8765
Male-45-54 years,4807
Male-20-44 years,9615
Male-Less than 20 years,2242
Female-65 years and older,30298
Female-55-64 years,11184
Female-45-54 years,5718
Female-20-44 years,9763
Female-Less than 20 years,2546
"Black or African American, non-Hispanic",492
"American Indian or Alaska Native, non-Hispanic",1240
"Asian or Pacific Islander, non-Hispanic",1253
Hispanic or Latino,7347
Other Race,17200
Unknown,24429
"White, non-Hispanic",58602
