Category,Arizona
Total_doses_administered,8394939
Total_people_complete,381844
total_pouluation,7189020
Total_people_one_dose,4286576
Male-65 years and older,537624
Male-55-64 years,313400
Male-45-54 years,282847
Male-20-44 years,695571
Male-Less than 20 years,190699
Female-65 years and older,658184
Female-55-64 years,357556
Female-45-54 years,305660
Female-20-44 years,726134
Female-Less than 20 years,199278
"Black or African American, non-Hispanic",121808
"Asian or Pacific Islander, non-Hispanic",154984
"American Indian or Alaska Native, non-Hispanic",162710
Unknown,474149
Other Race,682887
Hispanic or Latino,761751
"White, non-Hispanic",1928287
