Category,Apache
Total_doses_administered,39609
Total_people_one_dose,21740
Total_people_complete,16779
total_pouluation,21740
Male-65 years and older,2306
Male-55-64 years,1590
Male-45-54 years,1208
Male-20-44 years,2837
Male-Less than 20 years,2714
Female-65 years and older,2712
Female-55-64 years,1704
Female-45-54 years,1222
Female-20-44 years,2653
Female-Less than 20 years,2786
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,493
Other Race,1241
Unknown,1508
"White, non-Hispanic",3264
"American Indian or Alaska Native, non-Hispanic",15076
