date,hospitalizations
2020-09-02,9
2020-09-01,13
2020-08-31,19
2020-08-30,25
2020-08-29,29
2020-08-28,35
2020-08-27,39
2020-08-26,35
2020-08-25,24
2020-08-24,33
2020-08-23,30
2020-08-22,46
2020-08-21,57
2020-08-20,86
2020-08-19,87
2020-08-18,91
2020-08-17,82
2020-08-16,67
2020-08-15,60
2020-08-14,68
2020-08-13,87
2020-08-12,108
2020-08-11,114
2020-08-10,109
2020-08-09,71
2020-08-08,91
2020-08-07,118
2020-08-06,123
2020-08-05,137
2020-08-04,173
2020-08-03,189
2020-08-02,134
2020-08-01,89
2020-07-31,172
2020-07-30,198
2020-07-29,174
2020-07-28,233
2020-07-27,301
2020-07-26,165
2020-07-25,220
2020-07-24,274
2020-07-23,315
2020-07-22,299
2020-07-21,314
2020-07-20,365
2020-07-19,272
2020-07-18,305
2020-07-17,361
2020-07-16,423
2020-07-15,506
2020-07-14,558
2020-07-13,566
2020-07-12,347
2020-07-11,427
2020-07-10,381
2020-07-09,319
2020-07-08,282
2020-07-07,288
2020-07-06,324
2020-07-05,295
2020-07-04,273
2020-07-03,280
2020-07-02,296
2020-07-01,318
2020-06-30,313
2020-06-29,287
2020-06-28,231
2020-06-27,241
2020-06-26,263
2020-06-25,265
2020-06-24,245
2020-06-23,243
2020-06-22,247
2020-06-21,204
2020-06-20,182
2020-06-19,224
2020-06-18,186
2020-06-17,170
2020-06-16,172
2020-06-15,191
2020-06-14,136
2020-06-13,144
2020-06-12,134
2020-06-11,132
2020-06-10,121
2020-06-09,136
2020-06-08,139
2020-06-07,109
2020-06-06,105
2020-06-05,103
2020-06-04,93
2020-06-03,106
2020-06-02,108
2020-06-01,113
2020-05-31,67
2020-05-30,70
2020-05-29,75
2020-05-28,72
2020-05-27,79
2020-05-26,76
2020-05-25,74
2020-05-24,63
2020-05-23,65
2020-05-22,74
2020-05-21,67
2020-05-20,62
2020-05-19,50
2020-05-18,68
2020-05-17,46
2020-05-16,50
2020-05-15,53
2020-05-14,70
2020-05-13,52
2020-05-12,58
2020-05-11,51
2020-05-10,38
2020-05-09,43
2020-05-08,62
2020-05-07,47
2020-05-06,57
2020-05-05,62
2020-05-04,50
2020-05-03,57
2020-05-02,46
2020-05-01,53
2020-04-30,56
2020-04-29,63
2020-04-28,51
2020-04-27,60
2020-04-26,44
2020-04-25,48
2020-04-24,54
2020-04-23,46
2020-04-22,45
2020-04-21,31
2020-04-20,69
2020-04-19,48
2020-04-18,51
2020-04-17,31
2020-04-16,45
2020-04-15,43
2020-04-14,50
2020-04-13,48
2020-04-12,39
2020-04-11,44
2020-04-10,46
2020-04-09,44
2020-04-08,54
2020-04-07,35
2020-04-06,59
2020-04-05,47
2020-04-04,44
2020-04-03,51
2020-04-02,34
2020-04-01,48
2020-03-31,55
2020-03-30,51
2020-03-29,42
2020-03-28,45
2020-03-27,40
2020-03-26,40
2020-03-25,44
2020-03-24,30
2020-03-23,45
2020-03-22,17
2020-03-21,20
2020-03-20,21
2020-03-19,18
2020-03-18,12
2020-03-17,13
2020-03-16,6
2020-03-15,10
2020-03-14,4
2020-03-13,6
2020-03-12,5
2020-03-11,3
2020-03-09,3
2020-03-08,1
2020-03-06,1
2020-03-05,1
2020-03-04,1
2020-03-03,1
2020-02-28,1
2020-02-21,1
