,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1902637,457052,8759,29430,55250,17578,6675,5271,5447,742664,32958,21738,280319,80021,14369,69232,45750
Total_people_one_dose,1260533,308260,5732,20463,39939,13313,4396,3291,4262,492029,22687,15032,185409,54926,9525,49536,31733
Total_people_complete,645004,165688,,,,,,,,,,,,,,,
Total_doses_ordered,1888380,517357,,,,,,,,,,,,,,,
65 years and older,383422,109480,,,,,,,,,,,,,,,
55-64 years,90442,17173,,,,,,,,,,,,,,,
45-54 years,80722,13926,,,,,,,,,,,,,,,
20-44 years,170331,29207,,,,,,,,,,,,,,,
Less than 20 years,6000,1072,,,,,,,,,,,,,,,
65 years and older,310354,94646,,,,,,,,,,,,,,,
55-64 years,57311,11301,,,,,,,,,,,,,,,
45-54 years,52125,10066,,,,,,,,,,,,,,,
20-44 years,102994,19465,,,,,,,,,,,,,,,
Less than 20 years,3771,657,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2901,606,,,,,,,,,,,,,,,
Black or African American,19875,1451,,,,,,,,,,,,,,,
Asian,28504,4359,,,,,,,,,,,,,,,
American Indian or Alaska Native,37226,7852,,,,,,,,,,,,,,,
Hispanic or Latino,104637,12390,,,,,,,,,,,,,,,
Other Race/Unknown,449494,93173,,,,,,,,,,,,,,,
White,618962,188564,,,,,,,,,,,,,,,
