Category,value
Hospitalizations,65687
Day,
Day_pct,
Apache,931
Cochise,734
Coconino,1323
Gila,710
Graham,309
Greenlee,40
La Paz,243
Maricopa,41103
Mohave,2023
Navajo,1745
Pima,7461
Pinal,4552
Santa Cruz,572
Yavapai,1660
Yuma,2281
0_5,
Less than 20 years,2388
20 - 44 years,13358
45 - 54 years,8997
55 - 64 years,11848
65 years and older,29094
Male,34380.8425461912
Female,31306.1574538088
Missing,
"White, Non-Hispanic",30455
Hispanic or Latino,21295
"American Indian or Alaska Native, non-Hispanic",4953
"Black or African American, non-Hispanic",2966
"Asian or Pacific Islander, non-Hispanic",1161
Other Race,2918
Unknown,1939
