,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1719839,398296,8268,27459,50377,14455,6309,4852,5310,678428,29429,20381,259358,72005,13495,61777,41192
Total_people_one_dose,1189024,288555,5492,19357,36821,10612,4183,3224,4180,465683,20826,14480,176306,51248,9182,48561,30314
Total_people_complete,529828,123612,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,358644,103224,,,,,,,,,,,,,,,
55-64 years,85213,15751,,,,,,,,,,,,,,,
45-54 years,77590,13002,,,,,,,,,,,,,,,
20-44 years,163534,26891,,,,,,,,,,,,,,,
Less than 20 years,5504,959,,,,,,,,,,,,,,,
65 years and older,290984,89549,,,,,,,,,,,,,,,
55-64 years,53359,10238,,,,,,,,,,,,,,,
45-54 years,49634,9312,,,,,,,,,,,,,,,
20-44 years,97987,17772,,,,,,,,,,,,,,,
Less than 20 years,3435,601,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2719,545,,,,,,,,,,,,,,,
Black or African American,18370,1353,,,,,,,,,,,,,,,
Asian,26988,4072,,,,,,,,,,,,,,,
American Indian or Alaska Native,35936,7331,,,,,,,,,,,,,,,
Hispanic or Latino,96169,11285,,,,,,,,,,,,,,,
Other Race/Unknown,424147,86352,,,,,,,,,,,,,,,
White,585844,177710,,,,,,,,,,,,,,,
